index  CourseName  Credit  CourseType  year  skills

1 Advanced_Mathematics 4 Compulsory 1 1
2 Linear_Algebra 4 Compulsory 1 1
3 Physics 4 Compulsory 1 3
4 Programming_Fundamentals 2 Compulsory 1 2
5 Signals_and_Systems_Theory 3 Compulsory 1 4_10
6 Personal_Development_Plan 1 Compulsory 1 5

7 Engineering_Mathematics 3 Compulsory 2 1
8 Electronic_and_Circuit_Foundation 3 Compulsory 2 9
9 Enterprise_Management 2 Optional 2 8
10 Digital_Signal_Processing 3 Compulsory 2 4
11 Electric_and_Magnetic_Fields 4 Compulsory 2 3

12 Internet_Protocols 3 Compulsory 2 Compulsory 3 2_7
13 Digital_Circuit_and_Logic_Design 3 Compulsory 3 6_9
14 Probability_Theory_and_Stochastic_Process 3 Compulsory 3 1
15 Introductory_Java_Programming 3 Compulsory 3 2
16 Product_Development_and_Marketing 2 Optional 3 8
17 Telecommunications_Systems 3 Compulsory 3 4_7_10

18 Advanced_Network_Programming 3 Optional 4 2_7
19 Microwave_and_Optical_Transmission 3 Optional 4 4_6_9
20 Internet_Applications 3 Optional 4 2_7
21 Software_Engineering 3 Compulsory 4 2_8
22 Microprocessor_Systems_Design 3 Optional 4 6_9

