stuID index GPA
jp2020213301 1 90
jp2020213301 2 85
jp2020213302 1 93
jp2020213302 2 81
jp2020213302 7 89
jp2020213303 4 71
jp2020213303 12 95
jp2020213303 15 86
jp2020213304 4 73
jp2020213304 12 91
jp2020213304 15 86
jp2020213304 17 76
jp2020213304 18 92
jp2020213304 20 86
jp2020213304 21 71
jp2020213305 1 93
jp2020213305 2 81
jp2020213305 3 89
jp2020213306 1 90
jp2020213306 2 85
jp2020213306 3 89
jp2020213306 7 76
jp2020213306 11 80
jp2020213307 6 85
jp2020213308 9 80
jp2020213309 6 76
jp2020213309 9 95
jp2020213310 5 76
jp2020213311 5 95
jp2020213311 17 76
jp2020213312 5 93
jp2020213312 10 86
jp2020213312 17 66
jp2020213313 5 91
jp2020213313 10 76
jp2020213313 17 85
jp2020213313 19 72
jp2020213314 12 87
jp2020213315 5 91
jp2020213315 8 76
jp2020213315 13 85
jp2020213315 19 72
jp2020213315 8 91
jp2020213315 13 76
jp2020213315 19 85
jp2020213315 22 72
jp2020213326 5 98
jp2020213326 10 89
jp2020213326 17 86
jp2020213326 19 99
jp2020213333 5 86
jp2020213333 10 88
jp2020213333 17 76
jp2020213333 19 0


