stuID courseIndex skillIndex AchIndex
jp2020213301 1_2_7 1 1
jp2020213302 1_2_7 1 1
jp2020213303 4_12_15_18_20_21 2_7_8 1
jp2020213304 4_12_15_17_18_20_21 2_4_7_8_10 1
jp2020213305 1_2_3_7_11 1_3 1
jp2020213306 1_2_3_7_11 1_3 1
jp2020213307 6 5 1
jp2020213308 9_16_21 2_8 1
jp2020213309 6_9_16_21 2_5_8 1
jp2020213310 5_17 4_7_10 1
jp2020213311 5_17 4_7_10 1
jp2020213312 5_10_17_19 4_6_7_10 1
jp2020213313 5_10_17_19 4_6_7_10 1
jp2020213314 12_17_18_20 2_4_6_7 1
jp2020213315 8_13_19_22 4_6_9 1
jp2020213326 1_2_3_6_7_11_14_15_18 1_3_5 1_2_3
jp2020213333 5_10_17_19 4_6_7_10 1
