stuID index GPA
jp2020213326 1 89
jp2020213326 2 83
jp2020213326 3 79
jp2020213326 4 91
jp2020213326 5 77
jp2020213326 6 92
jp2020213326 7 82
jp2020213326 8 98
jp2020213326 9 78
jp2020213326 10 78
jp2020213326 11 76
jp2020213326 12 89
jp2020213326 13 83
jp2020213326 14 92
jp2020213326 15 76
jp2020213326 16 96
jp2020213326 17 90
jp2020213326 20 70
jp2020213326 21 85
jp2020213333 1 78
jp2020213333 2 92
jp2020213333 3 83
jp2020213333 4 93
jp2020213333 5 80
jp2020213333 6 87
jp2020213333 7 92
jp2020213333 8 72
jp2020213333 9 82
jp2020213333 10 82
jp2020213333 11 79
jp2020213333 12 97
jp2020213333 13 92
jp2020213333 14 78
jp2020213333 15 65
jp2020213333 16 97
jp2020213333 17 70
